Model,Class_ID,Class_Name,Precision,Recall,mAP50,mAP50-95
YOLO26s_150epochs,125,lasagna,0.9627813483844234,0.8920863309352518,0.9220113703409646,0.7380711518501838
RTDETR_L_150epochs,126,leek,0.9821044355635582,0.9219858156028369,0.925,0.695666257379079
YOLO26s_150epochs,126,leek,0.9568298165803043,0.900709219858156,0.904765625,0.6690125382106842
RTDETR_L_150epochs,127,lemon,0.9681659315750772,0.9219858156028369,0.9238554381333791,0.6530994012372974
YOLO26s_150epochs,127,lemon,0.9265567492419456,0.8947555687063344,0.9092704833461736,0.6540625012731465
RTDETR_L_150epochs,128,lemongrass,0.9925151273769741,0.9539899288664233,0.9547761194029851,0.7149564071552093
YOLO26s_150epochs,128,lemongrass,0.9586033903565274,0.8705035971223022,0.9000255112489104,0.6480008315105446
RTDETR_L_150epochs,129,lentils,0.9536281683187984,0.8129496402877698,0.8262269486441387,0.5260060800374481
YOLO26s_150epochs,129,lentils,0.8890464778311978,0.7338129496402878,0.7543854348805281,0.46870698857690024
RTDETR_L_150epochs,130,lettuce,0.9731527714487965,0.8611111111111112,0.8647606246799795,0.6864906531598631
YOLO26s_150epochs,130,lettuce,0.9633471996600562,0.8402777777777778,0.8535299442536717,0.6693794072311358
RTDETR_L_150epochs,131,lima_bean,0.9788619350399588,0.8467153284671532,0.8617445672641104,0.6407429879257769
YOLO26s_150epochs,131,lima_bean,0.9262961328578476,0.8029197080291971,0.8196538992913105,0.648495338876721
RTDETR_L_150epochs,132,lime,0.9778520186357812,0.8330462518929623,0.8532708397965336,0.6288926016309764
YOLO26s_150epochs,132,lime,0.9699244344542287,0.8113103321988032,0.8618943918744822,0.623849982986391
RTDETR_L_150epochs,133,linguine,0.9975018002329639,0.9696969696969697,0.965,0.7543506969567714
YOLO26s_150epochs,133,linguine,0.9811134040686716,0.9621212121212122,0.9742362406716419,0.7360490105738473
RTDETR_L_150epochs,134,lobster,0.9956203325159745,0.8979591836734694,0.9044326241134752,0.6832229802377248
YOLO26s_150epochs,134,lobster,0.9698622336430945,0.8756826085683109,0.883890979524073,0.6482358673972368
RTDETR_L_150epochs,135,lychee,1.0,0.9465302629785485,0.9450000000000001,0.7278431897719408
YOLO26s_150epochs,135,lychee,0.9764080552990603,0.9057971014492754,0.9236942489327863,0.6638469830189575
RTDETR_L_150epochs,136,macaroni,0.9856674806455117,0.8816960684668523,0.9230213054238081,0.6753400173366952
YOLO26s_150epochs,136,macaroni,0.9528029908836472,0.8525641025641025,0.8721911427914775,0.6488397399808896
RTDETR_L_150epochs,137,mackerel,0.9850558441882497,0.8968205956564114,0.913637037037037,0.6770924259885017
YOLO26s_150epochs,137,mackerel,0.9335662552525129,0.8603752429600426,0.8712161727339157,0.6080260775447386
RTDETR_L_150epochs,138,mandarin,0.9605507347852645,0.8992805755395683,0.9106369047619047,0.6403534519550166
YOLO26s_150epochs,138,mandarin,0.9213180102760286,0.8489208633093526,0.8788723502437918,0.642089145539962
RTDETR_L_150epochs,139,mango,0.9924804619492543,0.920863309352518,0.925,0.7133033335009615
YOLO26s_150epochs,139,mango,0.9814252796056514,0.9064748201438849,0.9143004807692308,0.6892864532709069
RTDETR_L_150epochs,140,milk,0.9943194650624932,0.9078014184397163,0.9235139949109415,0.7329978656601045
YOLO26s_150epochs,140,milk,0.9747289277165004,0.8794326241134752,0.8845311923218899,0.7362852818416897
RTDETR_L_150epochs,141,millet,0.9581475264621913,0.854248772955359,0.8708085747177647,0.651117553382409
YOLO26s_150epochs,141,millet,0.9631996722274782,0.781318174369166,0.8443265002143645,0.6120743068861882
RTDETR_L_150epochs,142,mulberry,0.9822309442214409,0.891156462585034,0.9141290603880532,0.6419149067009055
YOLO26s_150epochs,142,mulberry,0.990719910429039,0.8775510204081632,0.8830023310023312,0.618972747545907
RTDETR_L_150epochs,143,mung_bean,0.9816628173977759,0.9104477611940298,0.9243685006617508,0.6668036684644246
YOLO26s_150epochs,143,mung_bean,0.9838092775452255,0.906936944476788,0.9235346066727885,0.6613678019354206
RTDETR_L_150epochs,144,mushroom,0.9920159566919381,0.9415584415584416,0.9448630136986302,0.7369115279998011
YOLO26s_150epochs,144,mushroom,0.9929045292587397,0.9086714777111903,0.9343902097902099,0.7250817055262737
RTDETR_L_150epochs,145,mustard_green,0.976569251602091,0.8561151079136691,0.8726858694316104,0.6377876912467121
YOLO26s_150epochs,145,mustard_green,0.9505126449047517,0.7985611510791367,0.8344109131093504,0.5779324857920213
RTDETR_L_150epochs,146,mutton,0.9920062282363408,0.9090909090909091,0.905,0.7350628909965591
YOLO26s_150epochs,146,mutton,0.9683855642401837,0.9020979020979021,0.92254705454567,0.723119612700334
RTDETR_L_150epochs,147,navy_bean,0.9364465016280975,0.8419932148594064,0.8356365719758485,0.6070880566762695
YOLO26s_150epochs,147,navy_bean,0.9289962807443217,0.7476579724108349,0.8006996673478348,0.5518877135137846
RTDETR_L_150epochs,148,nectarine,1.0,0.9458910384374799,0.9550000000000001,0.6984324901324811
YOLO26s_150epochs,148,nectarine,0.9850342874421752,0.933620818420031,0.9536740211983561,0.6997818502729138
RTDETR_L_150epochs,149,nutmeg,0.9780980392196534,0.9368826730549707,0.9341840069724372,0.7084655234966157
YOLO26s_150epochs,149,nutmeg,0.9265921830275353,0.8827031847335921,0.9100611874690194,0.720456884017634
RTDETR_L_150epochs,150,oat,0.9916967268279678,0.927007299270073,0.9246875000000001,0.6941248158842321
YOLO26s_150epochs,150,oat,0.9842573743016654,0.9127294768170519,0.9340573870573872,0.6801684029522888
RTDETR_L_150epochs,151,octopus,0.9902479519949887,0.9591836734693877,0.9647931034482758,0.7451686432847135
YOLO26s_150epochs,151,octopus,0.9465723353694071,0.9319727891156463,0.9609038036148152,0.7302658963556525
RTDETR_L_150epochs,152,olive_oil,0.9624991389142835,0.891156462585034,0.9121867333810707,0.6579596810303228
YOLO26s_150epochs,152,olive_oil,0.9676766727054068,0.8435374149659864,0.8618175562500494,0.6202683031279281
RTDETR_L_150epochs,153,olives,0.9969124369226026,0.935251798561151,0.935,0.7122575264732077
YOLO26s_150epochs,153,olives,0.9784563921385148,0.8705035971223022,0.8939644644896863,0.714725761924685
RTDETR_L_150epochs,154,onion,0.9928919971823905,0.9070650933791435,0.9144366197183098,0.7003927897901387
YOLO26s_150epochs,154,onion,0.933924877457312,0.8571428571428571,0.8888897224124599,0.6770144227585444
RTDETR_L_150epochs,155,orange,0.9832481890389025,0.8631769833659162,0.8591068376068378,0.6653917032771507
YOLO26s_150epochs,155,orange,0.948218054819505,0.8602941176470589,0.8980728356316143,0.6864117222908934
RTDETR_L_150epochs,156,ostrich,0.9845745962379401,0.9118427818223371,0.9219077639152827,0.644728112910209
YOLO26s_150epochs,156,ostrich,0.9691356089599816,0.897150289748023,0.9127889316019832,0.6273459414738451
RTDETR_L_150epochs,157,oyster,0.9891394529722098,0.9436619718309859,0.9547826086956521,0.7499044216202199
YOLO26s_150epochs,157,oyster,0.9556414618721799,0.9103019248512005,0.9133348232324126,0.7462392004434334
RTDETR_L_150epochs,158,papaya,1.0,0.9033502086300605,0.925,0.7051983439713174
YOLO26s_150epochs,158,papaya,0.9758098044192728,0.8769371219776027,0.9040695437879425,0.6933820292757219
RTDETR_L_150epochs,159,paprika,0.9906960374617623,0.9191176470588235,0.915,0.7309787212727014
YOLO26s_150epochs,159,paprika,0.983985103941468,0.9035629084292433,0.9140390337648472,0.7362197119998508
RTDETR_L_150epochs,160,parsnip,0.9690097539638556,0.8508394115201687,0.8624101922028353,0.6433617873605305
YOLO26s_150epochs,160,parsnip,0.9839408214575265,0.8336147367063262,0.8542245244153641,0.6253169959654884
RTDETR_L_150epochs,161,partridge,0.9677843364250297,0.8583164546213574,0.8931972308013995,0.6087272607522103
YOLO26s_150epochs,161,partridge,0.9598754780061194,0.8214285714285714,0.8703589663285229,0.6211195003233416
RTDETR_L_150epochs,162,passion_fruit,0.9683134126682287,0.8571428571428571,0.8711311537054242,0.6083266401316803
YOLO26s_150epochs,162,passion_fruit,0.9630701552231083,0.8571428571428571,0.8795938684744814,0.6572523708047084
RTDETR_L_150epochs,163,pasta,0.9392302004430153,0.8450704225352113,0.8522062111899551,0.630302789285392
YOLO26s_150epochs,163,pasta,0.9119412398682543,0.8098591549295775,0.8512233018691239,0.6108741427241912
RTDETR_L_150epochs,164,pasta_sauce,0.995184150610221,0.9337748344370861,0.935,0.7400912222678067
YOLO26s_150epochs,164,pasta_sauce,0.9928726501778872,0.9225570497449838,0.9345156902749442,0.7617671376229062
RTDETR_L_150epochs,165,pawpaw,0.9851987012714519,0.9375,0.9342590134925902,0.6488101559546289
YOLO26s_150epochs,165,pawpaw,0.9624840035601782,0.875,0.9015780479756829,0.6154968603556477
RTDETR_L_150epochs,166,peach,0.9617755951718705,0.898626265395649,0.8942983206106871,0.6809056139594843
YOLO26s_150epochs,166,peach,0.9295522590712099,0.8482551773504661,0.8867737806978037,0.6660274864183957
RTDETR_L_150epochs,167,peanut_oil,0.99718182561319,0.9177215189873418,0.915,0.742228902346959
YOLO26s_150epochs,167,peanut_oil,0.9645075565753053,0.8987341772151899,0.8940831745527681,0.7236729371242909
RTDETR_L_150epochs,168,pear,0.9912191035755983,0.9555555555555556,0.9550000000000001,0.7672267983478694
YOLO26s_150epochs,168,pear,0.9839514116501575,0.9083217799164534,0.923821828117238,0.7363397978271593
RTDETR_L_150epochs,169,peas,0.9640746228451081,0.9428571428571428,0.9440240641711231,0.7721160942036257
